Course,Mark and Side x 10,,,Card,CC1,Sat_CV,,,,,Mark x 10,,,,,,,,,,Side x 10,,,,,,,,,last
C3,Fp,Cp,Wp,Np,Hs,Gp,As,,,,F,C,W,N,H,G,A,,,,p,p,p,p,s,p,s,,,
C4,Fp,Cp,Wp,Np,Jp,As,,,,,F,C,W,N,J,A,,,,,p,p,p,p,p,s,,,,
C5,Fp,Cp,Vp,Jp,As,,,,,,F,C,V,J,A,,,,,,p,p,p,p,s,,,,,
C6,Ms,Wp,Np,Jp,As,,,,,,M,W,N,J,A,,,,,,s,p,p,p,s,,,,,
C7,Ms,Bs,Ms,Ks,As,,,,,,M,B,M,K,A,,,,,,s,s,s,s,s,,,,,
C8,Ms,Bs,Ms,As,,,,,,,M,B,M,A,,,,,,,s,s,s,s,,,,,,
D1,Gp,Ep,Cp,Fp,Dp,Bp,Gp,Lp,Js,Ap,G,E,C,F,D,B,G,L,J,A,p,p,p,p,p,p,p,p,s,p
D2,Gp,Ep,Cp,Fp,Cp,Ms,Lp,Js,Ap,,G,E,C,F,C,M,L,J,A,,p,p,p,p,p,s,p,s,p,
D3,Gp,Ep,Lp,Ms,Lp,Js,Ap,,,,G,E,L,M,L,J,A,,,,p,p,p,s,p,s,p,,,
D4,Gp,Ep,Cp,Ms,Lp,Js,Ap,,,,G,E,C,M,L,J,A,,,,p,p,p,s,p,s,p,,,
D5,Gp,Ep,Cp,Ms,Bp,Js,Ap,,,,G,E,C,M,B,J,A,,,,p,p,p,s,p,s,p,,,
D6,Gp,Dp,Bp,Js,Ap,,,,,,G,D,B,J,A,,,,,,p,p,p,s,p,,,,,
D7,Gp,Bp,Js,Ap,,,,,,,G,B,J,A,,,,,,,p,p,s,p,,,,,,
D8,Gp,Bp,Ap,,,,,,,,G,B,A,,,,,,,,p,p,p,,,,,,,
E1,Jp,Cs,Gs,Lp,Jp,Lp,Jp,Mp,Bp,,J,C,G,L,J,L,J,M,B,,p,s,s,p,p,p,p,p,p,
E2,Jp,Cs,Gs,Lp,Jp,Mp,Lp,,,,J,C,G,L,J,M,L,,,,p,s,s,p,p,p,p,,,
E3,Jp,Cs,Gs,Bp,Jp,Mp,Lp,,,,J,C,G,B,J,M,L,,,,p,s,s,p,p,p,p,,,
E4,Jp,Cs,Gs,Bp,Jp,Mp,Bp,,,,J,C,G,B,J,M,B,,,,p,s,s,p,p,p,p,,,
E5,Jp,Mp,Lp,Jp,Mp,Bp,,,,,J,M,L,J,M,B,,,,,p,p,p,p,p,p,,,,
E6,Jp,Mp,Bp,Jp,Mp,Bp,,,,,J,M,B,J,M,B,,,,,p,p,p,p,p,p,,,,
E7,Jp,Mp,Lp,,,,,,,,J,M,L,,,,,,,,p,p,p,,,,,,,
E8,Jp,Mp,Bp,,,,,,,,J,M,B,,,,,,,,p,p,p,,,,,,,
F1,Np,Ds,Gs,Cp,Js,Lp,Np,Bp,,,N,D,G,C,J,L,N,B,,,p,s,s,p,s,p,p,p,,
F2,Np,Ds,Gs,Cp,Js,Hp,Np,Bp,,,N,D,G,C,J,H,N,B,,,p,s,s,p,s,p,p,p,,
F3,Np,Mp,Cp,Js,Bp,Np,Bp,,,,N,M,C,J,B,N,B,,,,p,p,p,s,p,p,p,,,
F4,Np,Mp,Cp,Js,Hp,Np,Bp,,,,N,M,C,J,H,N,B,,,,p,p,p,s,p,p,p,,,
F5,Np,Mp,Cp,Js,Lp,,,,,,N,M,C,J,L,,,,,,p,p,p,s,p,,,,,
F6,Np,Mp,Cp,Js,Bp,,,,,,N,M,C,J,B,,,,,,p,p,p,s,p,,,,,
F7,Np,Mp,Lp,,,,,,,,N,M,L,,,,,,,,p,p,p,,,,,,,
F8,Np,Mp,Bp,,,,,,,,N,M,B,,,,,,,,p,p,p,,,,,,,
G1,Pp,Gp,Dp,Js,Bp,Qs,Lp,,,,P,G,D,J,B,Q,L,,,,p,p,p,s,p,s,p,,,
G2,Pp,Gp,Dp,Js,Bp,Vs,Lp,,,,P,G,D,J,B,V,L,,,,p,p,p,s,p,s,p,,,
G3,Pp,Gp,Cp,Vs,Lp,,,,,,P,G,C,V,L,,,,,,p,p,p,s,p,,,,,
G4,Pp,Sp,Cp,Vs,Lp,,,,,,P,S,C,V,L,,,,,,p,p,p,s,p,,,,,
G5,Pp,Sp,Bp,Vs,Lp,,,,,,P,S,B,V,L,,,,,,p,p,p,s,p,,,,,
G6,Ns,Bp,Vs,Lp,,,,,,,N,B,V,L,,,,,,,s,p,s,p,,,,,,
G7,Pp,Sp,Bp,Lp,,,,,,,P,S,B,L,,,,,,,p,p,p,p,,,,,,
G8,Ns,Lp,,,,,,,,,N,L,,,,,,,,,s,p,,,,,,,,
H1,Qp,Pp,Ep,Ns,Dp,Ks,Cp,,,,Q,P,E,N,D,K,C,,,,p,p,p,s,p,s,p,,,
H2,Qp,Pp,Ep,Ns,Cp,Ks,Bp,,,,Q,P,E,N,C,K,B,,,,p,p,p,s,p,s,p,,,
H3,Qp,Pp,Dp,Ks,Cp,Ks,Bp,,,,Q,P,D,K,C,K,B,,,,p,p,p,s,p,s,p,,,
H4,Qp,Pp,Cp,Ks,Cp,,,,,,Q,P,C,K,C,,,,,,p,p,p,s,p,,,,,
H5,Qp,Pp,Cp,Ks,Bp,,,,,,Q,P,C,K,B,,,,,,p,p,p,s,p,,,,,
H6,Qp,Pp,Cp,,,,,,,,Q,P,C,,,,,,,,p,p,p,,,,,,,
H7,Qp,Pp,Bp,,,,,,,,Q,P,B,,,,,,,,p,p,p,,,,,,,
H8,Yp,Sp,Bp,,,,,,,,Y,S,B,,,,,,,,p,p,p,,,,,,,
J1,Tp,Sp,Fp,Ns,Ep,Ks,Dp,,,,T,S,F,N,E,K,D,,,,p,p,p,s,p,s,p,,,
J2,Tp,Sp,Fp,Js,Ep,Ks,Dp,,,,T,S,F,J,E,K,D,,,,p,p,p,s,p,s,p,,,
J3,Tp,Sp,Ep,Ks,Dp,,,,,,T,S,E,K,D,,,,,,p,p,p,s,p,,,,,
J4,Tp,Sp,Dp,Bs,Cp,,,,,,T,S,D,B,C,,,,,,p,p,p,s,p,,,,,
J5,Tp,Sp,Dp,,,,,,,,T,S,D,,,,,,,,p,p,p,,,,,,,
J6,Tp,Sp,Cp,,,,,,,,T,S,C,,,,,,,,p,p,p,,,,,,,
J7,Tp,Yp,Cp,,,,,,,,T,Y,C,,,,,,,,p,p,p,,,,,,,
J8,Vs,Cp,,,,,,,,,V,C,,,,,,,,,s,p,,,,,,,,
K1,As,Ls,Es,Bp,Gs,Vs,Cs,Fs,,,A,L,E,B,G,V,C,F,,,s,s,s,p,s,s,s,s,,
K2,As,Ls,Es,Bp,Gs,Vs,Cs,Ms,,,A,L,E,B,G,V,C,M,,,s,s,s,p,s,s,s,s,,
K3,As,Ls,Gs,Vs,Cs,Fs,,,,,A,L,G,V,C,F,,,,,s,s,s,s,s,s,,,,
K4,As,Ls,Gs,Vs,Cs,Ms,,,,,A,L,G,V,C,M,,,,,s,s,s,s,s,s,,,,
K5,As,Ls,Fs,Ks,Cs,Ms,,,,,A,L,F,K,C,M,,,,,s,s,s,s,s,s,,,,
K6,As,Ls,Es,Bp,Ms,,,,,,A,L,E,B,M,,,,,,s,s,s,p,s,,,,,
K7,As,Ls,Es,,,,,,,,A,L,E,,,,,,,,s,s,s,,,,,,,
K8,As,Ls,Ms,,,,,,,,A,L,M,,,,,,,,s,s,s,,,,,,,
L1,Wp,Ss,Tp,Qp,Gp,Ks,Gp,Ks,Fp,,W,S,T,Q,G,K,G,K,F,,p,s,p,p,p,s,p,s,p,
L2,Wp,Ss,Tp,Ps,Rs,Gp,Ks,Fp,,,W,S,T,P,R,G,K,F,,,p,s,p,s,s,p,s,p,,
L3,Wp,Ss,Tp,Ps,Rs,Gp,Ks,Mp,,,W,S,T,P,R,G,K,M,,,p,s,p,s,s,p,s,p,,
L4,Wp,Ss,Tp,Ps,Rs,Ks,Mp,,,,W,S,T,P,R,K,M,,,,p,s,p,s,s,s,p,,,
L5,Wp,Ss,Tp,Qp,Mp,,,,,,W,S,T,Q,M,,,,,,p,s,p,p,p,,,,,
L6,Wp,Qp,Ks,Mp,,,,,,,W,Q,K,M,,,,,,,p,p,s,p,,,,,,
L7,Wp,Yp,Ks,Mp,,,,,,,W,Y,K,M,,,,,,,p,p,s,p,,,,,,
L8,Vs,Ks,Mp,,,,,,,,V,K,M,,,,,,,,s,s,p,,,,,,,
M1,Lp,Hp,Ep,Cp,Fp,Cp,Gs,Lp,Js,,L,H,E,C,F,C,G,L,J,,p,p,p,p,p,p,s,p,s,
M2,Lp,Hp,Fp,Cp,Gs,Lp,Js,,,,L,H,F,C,G,L,J,,,,p,p,p,p,s,p,s,,,
M3,Lp,Hp,Fp,Cp,Gs,Bp,Js,,,,L,H,F,C,G,B,J,,,,p,p,p,p,s,p,s,,,
M4,Lp,Hp,Ms,Gs,Lp,Js,,,,,L,H,M,G,L,J,,,,,p,p,s,s,p,s,,,,
M5,Lp,Hp,Ms,Gs,Bp,Js,,,,,L,H,M,G,B,J,,,,,p,p,s,s,p,s,,,,
M6,Lp,Hp,Ms,Gs,Bp,Ks,,,,,L,H,M,G,B,K,,,,,p,p,s,s,p,s,,,,
M7,Lp,Hp,Ms,Js,,,,,,,L,H,M,J,,,,,,,p,p,s,s,,,,,,
M8,Lp,Js,,,,,,,,,L,J,,,,,,,,,p,s,,,,,,,,
N1,Ls,Fp,Dp,Gs,Cp,Gs,Cp,Js,,,L,F,D,G,C,G,C,J,,,s,p,p,s,p,s,p,s,,
N2,Ls,Ms,Gs,Cp,Gs,Cp,Js,Bp,Ks,,L,M,G,C,G,C,J,B,K,,s,s,s,p,s,p,s,p,s,
N3,Ls,Ms,Gs,Cp,Js,Bp,Js,,,,L,M,G,C,J,B,J,,,,s,s,s,p,s,p,s,,,
N4,Ls,Ms,Gs,Cp,Js,Bp,Ks,,,,L,M,G,C,J,B,K,,,,s,s,s,p,s,p,s,,,
N5,Ls,Ms,Js,Bp,Js,,,,,,L,M,J,B,J,,,,,,s,s,s,p,s,,,,,
N6,Ls,Ms,Js,Bp,Ks,,,,,,L,M,J,B,K,,,,,,s,s,s,p,s,,,,,
N7,Ls,Ms,Js,,,,,,,,L,M,J,,,,,,,,s,s,s,,,,,,,
N8,Ls,Js,,,,,,,,,L,J,,,,,,,,,s,s,,,,,,,,
P1,Ls,Gp,Dp,Js,Cs,Ms,Ps,,,,L,G,D,J,C,M,P,,,,s,p,p,s,s,s,s,,,
P2,Ls,Gp,Dp,Js,Cs,Ms,Ns,,,,L,G,D,J,C,M,N,,,,s,p,p,s,s,s,s,,,
P3,Ls,Ms,Js,Cs,Ms,Ps,,,,,L,M,J,C,M,P,,,,,s,s,s,s,s,s,,,,
P4,Ls,Ms,Js,Cs,Ms,Ns,,,,,L,M,J,C,M,N,,,,,s,s,s,s,s,s,,,,
P5,Ls,Ms,Ps,,,,,,,,L,M,P,,,,,,,,s,s,s,,,,,,,
P6,Ls,Ms,Ys,,,,,,,,L,M,Y,,,,,,,,s,s,s,,,,,,,
P7,Ls,Ms,Ns,,,,,,,,L,M,N,,,,,,,,s,s,s,,,,,,,
P8,Ls,Ms,Hs,,,,,,,,L,M,H,,,,,,,,s,s,s,,,,,,,
Q1,Cs,Gp,Ep,Js,Dp,Ps,Kp,Vs,,,C,G,E,J,D,P,K,V,,,s,p,p,s,p,s,p,s,,
Q2,Cs,Gp,Ep,Js,Dp,Qs,,,,,C,G,E,J,D,Q,,,,,s,p,p,s,p,s,,,,
Q3,Cs,Ms,Ps,Kp,Qs,,,,,,C,M,P,K,Q,,,,,,s,s,s,p,s,,,,,
Q4,Cs,Ms,Ps,Np,Qs,,,,,,C,M,P,N,Q,,,,,,s,s,s,p,s,,,,,
Q5,Cs,Ms,Ps,Np,Ys,,,,,,C,M,P,N,Y,,,,,,s,s,s,p,s,,,,,
Q6,Cs,Ms,Ys,,,,,,,,C,M,Y,,,,,,,,s,s,s,,,,,,,
Q7,Cs,Ms,Vs,,,,,,,,C,M,V,,,,,,,,s,s,s,,,,,,,
Q8,Cs,Vs,,,,,,,,,C,V,,,,,,,,,s,s,,,,,,,,
R1,Cs,Js,Sp,Ep,Qs,Np,Ws,,,,C,J,S,E,Q,N,W,,,,s,s,p,p,s,p,s,,,
R2,Cs,Js,Qs,Mp,Ts,,,,,,C,J,Q,M,T,,,,,,s,s,s,p,s,,,,,
R3,Cs,Js,Ys,Mp,Ts,,,,,,C,J,Y,M,T,,,,,,s,s,s,p,s,,,,,
R4,Cs,Js,Ys,Kp,Ts,,,,,,C,J,Y,K,T,,,,,,s,s,s,p,s,,,,,
R5,Cs,Js,Qs,Np,Vs,,,,,,C,J,Q,N,V,,,,,,s,s,s,p,s,,,,,
R6,Cs,Js,Ts,,,,,,,,C,J,T,,,,,,,,s,s,s,,,,,,,
R7,Cs,Js,Ys,,,,,,,,C,J,Y,,,,,,,,s,s,s,,,,,,,
R8,Cs,Js,Hs,,,,,,,,C,J,H,,,,,,,,s,s,s,,,,,,,
