Course,Mark and Side x 10,,,Card,CC3,Thu_Blue,,,,,Mark x 10,,,,,,,,,,Side x 10,,,,,,,,,last
C2,Fp,Cs,Es,Kp,Jp,Bp,3p,,,,F,C,E,K,J,B,3,,,,p,s,s,p,p,p,p,,,
C3,Fp,Bp,Kp,Jp,Bp,3p,,,,,F,B,K,J,B,3,,,,,p,p,p,p,p,p,,,,
C4,Fp,Bp,Kp,Jp,Bp,Op,,,,,F,B,K,J,B,O,,,,,p,p,p,p,p,p,,,,
C5,Mp,Cs,Es,3p,,,,,,,M,C,E,3,,,,,,,p,s,s,p,,,,,,
C6,Mp,Cs,Ds,Op,,,,,,,M,C,D,O,,,,,,,p,s,s,p,,,,,,
C7,Mp,Lp,Op,,,,,,,,M,L,O,,,,,,,,p,p,p,,,,,,,
C8,Mp,Op,,,,,,,,,M,O,,,,,,,,,p,p,,,,,,,,
D1,Jp,Cs,Fs,Bp,Gs,Xp,,,,,J,C,F,B,G,X,,,,,p,s,s,p,s,p,,,,
D2,Jp,Mp,Lp,Gs,Ap,,,,,,J,M,L,G,A,,,,,,p,p,p,s,p,,,,,
D3,Jp,Mp,Lp,Gs,Xp,,,,,,J,M,L,G,X,,,,,,p,p,p,s,p,,,,,
D4,Jp,Mp,Lp,Gs,3p,,,,,,J,M,L,G,3,,,,,,p,p,p,s,p,,,,,
D5,Jp,Mp,Bp,Gs,3p,,,,,,J,M,B,G,3,,,,,,p,p,p,s,p,,,,,
D6,Jp,Mp,Ap,,,,,,,,J,M,A,,,,,,,,p,p,p,,,,,,,
D7,Jp,Mp,3p,,,,,,,,J,M,3,,,,,,,,p,p,p,,,,,,,
D8,Jp,Hp,3p,,,,,,,,J,H,3,,,,,,,,p,p,p,,,,,,,
E1,Jp,Ds,Fs,Cp,Gs,Ap,,,,,J,D,F,C,G,A,,,,,p,s,s,p,s,p,,,,
E2,Jp,Mp,Cp,Gs,Bp,Ks,Ap,,,,J,M,C,G,B,K,A,,,,p,p,p,s,p,s,p,,,
E3,Jp,Mp,Lp,Jp,Bp,Ap,,,,,J,M,L,J,B,A,,,,,p,p,p,p,p,p,,,,
E4,Jp,Mp,Lp,Gs,Xp,,,,,,J,M,L,G,X,,,,,,p,p,p,s,p,,,,,
E5,Jp,Lp,Jp,Mp,Xp,,,,,,J,L,J,M,X,,,,,,p,p,p,p,p,,,,,
E6,Jp,Lp,Ks,Xp,,,,,,,J,L,K,X,,,,,,,p,p,s,p,,,,,,
E7,Jp,Lp,Xp,,,,,,,,J,L,X,,,,,,,,p,p,p,,,,,,,
E8,Jp,Xp,,,,,,,,,J,X,,,,,,,,,p,p,,,,,,,,
F1,Kp,Mp,Ds,Gs,Cp,Js,Lp,,,,K,M,D,G,C,J,L,,,,p,p,s,s,p,s,p,,,
F2,Kp,Mp,Ds,Gs,Cp,Js,Bp,,,,K,M,D,G,C,J,B,,,,p,p,s,s,p,s,p,,,
F3,Kp,Mp,Ds,Gs,Lp,,,,,,K,M,D,G,L,,,,,,p,p,s,s,p,,,,,
F4,Kp,Mp,Ds,Gs,Hp,,,,,,K,M,D,G,H,,,,,,p,p,s,s,p,,,,,
F5,Kp,Mp,Cp,Kp,Bp,Hp,,,,,K,M,C,K,B,H,,,,,p,p,p,p,p,p,,,,
F6,Kp,Mp,Cp,Hp,,,,,,,K,M,C,H,,,,,,,p,p,p,p,,,,,,
F7,Kp,Cp,Hp,,,,,,,,K,C,H,,,,,,,,p,p,p,,,,,,,
F8,Kp,Bp,Hp,,,,,,,,K,B,H,,,,,,,,p,p,p,,,,,,,
G1,Kp,Jp,Dp,Jp,Dp,Jp,Mp,Bp,,,K,J,D,J,D,J,M,B,,,p,p,p,p,p,p,p,p,,
G2,Kp,Jp,Dp,Jp,Gp,Cp,,,,,K,J,D,J,G,C,,,,,p,p,p,p,p,p,,,,
G3,Kp,Mp,Dp,Jp,Mp,Cp,,,,,K,M,D,J,M,C,,,,,p,p,p,p,p,p,,,,
G4,Kp,Mp,Cp,Kp,Cp,,,,,,K,M,C,K,C,,,,,,p,p,p,p,p,,,,,
G5,Kp,Mp,Cp,Kp,Bp,,,,,,K,M,C,K,B,,,,,,p,p,p,p,p,,,,,
G6,Kp,Mp,Cp,,,,,,,,K,M,C,,,,,,,,p,p,p,,,,,,,
G7,Kp,Mp,Bp,,,,,,,,K,M,B,,,,,,,,p,p,p,,,,,,,
G8,Kp,Bp,,,,,,,,,K,B,,,,,,,,,p,p,,,,,,,,
H1,Hp,Jp,Ep,Jp,Gp,Dp,Ks,Bp,,,H,J,E,J,G,D,K,B,,,p,p,p,p,p,p,s,p,,
H2,Hp,Jp,Ep,Jp,Gp,Cp,,,,,H,J,E,J,G,C,,,,,p,p,p,p,p,p,,,,
H3,Hp,Jp,Dp,Ks,Cp,,,,,,H,J,D,K,C,,,,,,p,p,p,s,p,,,,,
H4,Hp,Jp,Dp,Ks,Bp,,,,,,H,J,D,K,B,,,,,,p,p,p,s,p,,,,,
H5,Hp,Jp,Cp,Ks,Bp,,,,,,H,J,C,K,B,,,,,,p,p,p,s,p,,,,,
H6,Hp,Jp,Mp,Cp,,,,,,,H,J,M,C,,,,,,,p,p,p,p,,,,,,
H7,Hp,Jp,Bp,,,,,,,,H,J,B,,,,,,,,p,p,p,,,,,,,
H8,Hp,Cp,,,,,,,,,H,C,,,,,,,,,p,p,,,,,,,,
J1,Hp,Jp,Fp,Jp,Gp,Ep,Kp,Ep,,,H,J,F,J,G,E,K,E,,,p,p,p,p,p,p,p,p,,
J2,Hp,Jp,Fp,Jp,Gp,Ep,Kp,Mp,,,H,J,F,J,G,E,K,M,,,p,p,p,p,p,p,p,p,,
J3,Hp,Jp,Fp,Jp,Gp,Ep,,,,,H,J,F,J,G,E,,,,,p,p,p,p,p,p,,,,
J4,Hp,Jp,Ep,Kp,Mp,,,,,,H,J,E,K,M,,,,,,p,p,p,p,p,,,,,
J5,Hp,Jp,Fp,Jp,Gp,Mp,,,,,H,J,F,J,G,M,,,,,p,p,p,p,p,p,,,,
J6,Hp,Jp,Ep,,,,,,,,H,J,E,,,,,,,,p,p,p,,,,,,,
J7,Hp,Jp,Mp,,,,,,,,H,J,M,,,,,,,,p,p,p,,,,,,,
J8,Hp,Kp,Mp,,,,,,,,H,K,M,,,,,,,,p,p,p,,,,,,,
K1,Xp,Jp,Dp,Lp,Jp,Mp,,,,,X,J,D,L,J,M,,,,,p,p,p,p,p,p,,,,
K2,Xp,Jp,Fp,Kp,Jp,Mp,,,,,X,J,F,K,J,M,,,,,p,p,p,p,p,p,,,,
K3,Xp,Jp,Fp,Kp,Mp,,,,,,X,J,F,K,M,,,,,,p,p,p,p,p,,,,,
K4,Xp,Jp,Dp,Lp,Bs,,,,,,X,J,D,L,B,,,,,,p,p,p,p,s,,,,,
K5,Xp,Jp,Cp,Lp,Bs,,,,,,X,J,C,L,B,,,,,,p,p,p,p,s,,,,,
K6,Xp,Kp,Cp,Lp,Bs,,,,,,X,K,C,L,B,,,,,,p,p,p,p,s,,,,,
K7,Xp,Mp,,,,,,,,,X,M,,,,,,,,,p,p,,,,,,,,
K8,Xp,Bs,,,,,,,,,X,B,,,,,,,,,p,s,,,,,,,,
L1,Ap,Jp,Fp,Bp,Jp,Fp,,,,,A,J,F,B,J,F,,,,,p,p,p,p,p,p,,,,
L2,Ap,Kp,Mp,Ap,Mp,,,,,,A,K,M,A,M,,,,,,p,p,p,p,p,,,,,
L3,Ap,Jp,Fp,Bp,Mp,,,,,,A,J,F,B,M,,,,,,p,p,p,p,p,,,,,
L4,Ap,Jp,Mp,Bp,Mp,,,,,,A,J,M,B,M,,,,,,p,p,p,p,p,,,,,
L5,Ap,Jp,Gp,,,,,,,,A,J,G,,,,,,,,p,p,p,,,,,,,
L6,Ap,Kp,Mp,,,,,,,,A,K,M,,,,,,,,p,p,p,,,,,,,
L7,Ap,Hp,Mp,,,,,,,,A,H,M,,,,,,,,p,p,p,,,,,,,
L8,Ap,Hp,,,,,,,,,A,H,,,,,,,,,p,p,,,,,,,,
M1,As,Ls,Fp,Cp,Gs,Bp,Ks,,,,A,L,F,C,G,B,K,,,,s,s,p,p,s,p,s,,,
M2,As,Ls,Ms,Gs,Bp,Js,,,,,A,L,M,G,B,J,,,,,s,s,s,s,p,s,,,,
M3,As,Ls,Ms,Gs,Bp,Ks,,,,,A,L,M,G,B,K,,,,,s,s,s,s,p,s,,,,
M4,As,Ms,Gs,Bp,Ks,,,,,,A,M,G,B,K,,,,,,s,s,s,p,s,,,,,
M5,As,Ms,Js,,,,,,,,A,M,J,,,,,,,,s,s,s,,,,,,,
M6,As,Js,,,,,,,,,A,J,,,,,,,,,s,s,,,,,,,,
M7,As,Ks,,,,,,,,,A,K,,,,,,,,,s,s,,,,,,,,
M8,As,Hs,,,,,,,,,A,H,,,,,,,,,s,s,,,,,,,,
N1,Ls,Fp,Dp,Gs,Cp,Ks,,,,,L,F,D,G,C,K,,,,,s,p,p,s,p,s,,,,
N2,Ls,Ms,Gs,Cp,Js,Bp,Hs,,,,L,M,G,C,J,B,H,,,,s,s,s,p,s,p,s,,,
N3,Ls,Fp,Dp,Ks,,,,,,,L,F,D,K,,,,,,,s,p,p,s,,,,,,
N4,Ls,Fp,Dp,Hs,,,,,,,L,F,D,H,,,,,,,s,p,p,s,,,,,,
N5,Ls,Ms,Js,Bp,Hs,,,,,,L,M,J,B,H,,,,,,s,s,s,p,s,,,,,
N6,Ls,Js,Bp,Hs,,,,,,,L,J,B,H,,,,,,,s,s,p,s,,,,,,
N7,Ls,Js,Hs,,,,,,,,L,J,H,,,,,,,,s,s,s,,,,,,,
N8,Ls,Ks,,,,,,,,,L,K,,,,,,,,,s,s,,,,,,,,
P1,Ls,Ms,Js,Cs,Gp,Dp,Os,,,,L,M,J,C,G,D,O,,,,s,s,s,s,p,p,s,,,
P2,Ls,Gp,Dp,Js,Os,,,,,,L,G,D,J,O,,,,,,s,p,p,s,s,,,,,
P3,Ls,Gp,Dp,Os,,,,,,,L,G,D,O,,,,,,,s,p,p,s,,,,,,
P4,Ls,Gp,Dp,Xs,,,,,,,L,G,D,X,,,,,,,s,p,p,s,,,,,,
P5,Ls,Ms,Js,Xs,,,,,,,L,M,J,X,,,,,,,s,s,s,s,,,,,,
P6,Ls,Ms,Xs,,,,,,,,L,M,X,,,,,,,,s,s,s,,,,,,,
P7,Ls,Bs,Hs,Xs,,,,,,,L,B,H,X,,,,,,,s,s,s,s,,,,,,
P8,Ls,Hs,Xs,,,,,,,,L,H,X,,,,,,,,s,s,s,,,,,,,
Q1,Cs,Gp,Ep,Js,Dp,Js,Os,,,,C,G,E,J,D,J,O,,,,s,p,p,s,p,s,s,,,
Q2,Cs,Gp,Ep,Js,Ms,Js,Os,,,,C,G,E,J,M,J,O,,,,s,p,p,s,s,s,s,,,
Q3,Cs,Ms,Js,Dp,Os,,,,,,C,M,J,D,O,,,,,,s,s,s,p,s,,,,,
Q4,Cs,Ms,Js,Dp,Xs,,,,,,C,M,J,D,X,,,,,,s,s,s,p,s,,,,,
Q5,Cs,Ms,Js,Ms,Js,Xs,,,,,C,M,J,M,J,X,,,,,s,s,s,s,s,s,,,,
Q6,Cs,Ks,Bp,Xs,,,,,,,C,K,B,X,,,,,,,s,s,p,s,,,,,,
Q7,Cs,Ks,Xs,,,,,,,,C,K,X,,,,,,,,s,s,s,,,,,,,
Q8,Cs,Hs,Xs,,,,,,,,C,H,X,,,,,,,,s,s,s,,,,,,,
R1,Cs,Jp,Ep,Ks,Dp,Os,,,,,C,J,E,K,D,O,,,,,s,p,p,s,p,s,,,,
R2,Cs,Gp,Fp,Ks,Dp,Os,,,,,C,G,F,K,D,O,,,,,s,p,p,s,p,s,,,,
R3,Cs,Ms,Ks,Dp,Os,,,,,,C,M,K,D,O,,,,,,s,s,s,p,s,,,,,
R4,Cs,Ms,Ks,Dp,Xs,,,,,,C,M,K,D,X,,,,,,s,s,s,p,s,,,,,
R5,Cs,Ms,Ks,Bp,Xs,,,,,,C,M,K,B,X,,,,,,s,s,s,p,s,,,,,
R6,Cs,Ms,Xs,,,,,,,,C,M,X,,,,,,,,s,s,s,,,,,,,
R7,Cs,Ks,Xs,,,,,,,,C,K,X,,,,,,,,s,s,s,,,,,,,
R8,Cs,Xs,,,,,,,,,C,X,,,,,,,,,s,s,,,,,,,,
